"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"184960","occ","5592","","18130","Caninae","subfamily","90655","Clarendonian","","13.6","10.3","6294"
"184968","occ","","","18131","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"184969","occ","","","18132","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"184972","occ","","","18134","Cynarctus crucidens","species","45442","Early Clarendonian","","13.6","10.3","3558"
"184973","occ","","","18134","Aelurodon taxoides","species","43778","Early Clarendonian","","13.6","10.3","3558"
"184974","occ","","","18134","Paratomarctus euthos","species","45458","Early Clarendonian","","13.6","10.3","3558"
"184975","occ","","","18134","Epicyon saevus","species","44881","Early Clarendonian","","13.6","10.3","3558"
"184985","occ","","","18135","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"184986","occ","","","18135","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","1032"
"184987","occ","","","18135","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"184999","occ","5604","","18138","Aelurodon ferox","species","43762","Clarendonian","Hemphillian","13.6","4.9","3558"
"185005","occ","","","18140","Borophagus secundus","species","44603","Hemphillian","","10.3","4.9","34707"
"185006","occ","5607","","18140","Eucyon davisi","species","44836","Hemphillian","","10.3","4.9","1839"
"185053","occ","","","18141","Aelurodon","genus","41190","Barstovian","","15.97","13.6","3503"
"185054","occ","5624","","18141","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"185067","occ","","","18142","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"185070","occ","","","18144","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"185083","occ","","","18148","Carpocyon webbi","species","44936","Clarendonian","","13.6","10.3","3558"
"185084","occ","","","18149","Aelurodon taxoides","species","43778","Miocene","","23.03","5.333","1321"
"185092","occ","","","18150","Paratomarctus euthos","species","45458","Barstovian","Clarendonian","15.97","10.3","3558"
"185093","occ","","","18151","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","6193"
"185094","occ","","","18152","Aelurodon ferox","species","43762","Clarendonian","","13.6","10.3","3558"
"185095","occ","","","18153","Aelurodon mcgrewi","species","43769","Barstovian","","15.97","13.6","3558"
"185098","occ","","","18155","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"185108","occ","","","18157","Leptocyon vafer","species","44886","Clarendonian","","13.6","10.3","3564"
"185120","occ","","","18158","Epicyon","genus","41212","Hemphillian","","10.3","4.9","2218"
"185132","occ","5647","","18159","Aelurodon stirtoni","species","51830","Clarendonian","","13.6","10.3","6294"
"185148","occ","5653","","18160","Borophaginae","subfamily","83323","Barstovian","","15.97","13.6","6294"
"185159","occ","","","18162","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"185182","occ","5662","","18164","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","6294"
"185183","occ","","","18164","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3510"
"185184","occ","","","18164","Cynarctus saxatilis","species","45448","Barstovian","","15.97","13.6","3510"
"185185","occ","","","18164","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"185218","occ","5674","","18165","Tomarctus hippophaga","species","52176","Barstovian","","15.97","13.6","3418"
"185219","occ","5675","","18165","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","6294"
"185231","occ","5681","","18166","Borophagus secundus","species","44603","Hemphillian","","10.3","4.9","6294"
"185232","occ","5682","","18166","Eucyon davisi","species","44836","Hemphillian","","10.3","4.9","1800"
"185241","occ","","","18167","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"185243","occ","","","18169","Epicyon haydeni","species","44847","Miocene","","23.03","5.333","3558"
"185244","occ","5684","","18170","Borophagus","genus","41196","Hemphillian","","10.3","4.9","6294"
"185248","occ","","","18171","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","3558"
"185249","occ","","","18171","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"185250","occ","","","18171","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"185259","occ","","","18172","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"185260","occ","","","18173","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"185261","occ","","","18174","Aelurodon taxoides","species","43778","Clarendonian","Hemphillian","13.6","4.9","3558"
"185262","occ","5686","","18175","Borophagus secundus","species","44603","Hemphillian","","10.3","4.9","6294"
"185272","occ","5687","","18176","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","6294"
"185273","occ","","","18176","Aelurodon stirtoni","species","51830","Clarendonian","","13.6","10.3","3558"
"185274","occ","","","18176","Aelurodon ferox","species","43762","Clarendonian","","13.6","10.3","3558"
"185291","occ","","","18179","Aelurodon taxoides","species","43778","Miocene","","23.03","5.333","6207"
"185300","occ","","","18180","Aelurodon","genus","41190","Clarendonian","Hemphillian","13.6","4.9","2218"
"185337","occ","5705","","18186","Borophaginae","subfamily","83323","Clarendonian","","13.6","10.3","6294"
"185354","occ","","","18187","Leptocyon","genus","41218","Barstovian","Early Clarendonian","15.97","10.3","3794"
"185360","occ","","","18188","Aelurodon ferox","species","43762","Miocene","","23.03","5.333","3558"
"185362","occ","","","18190","Aelurodon taxoides","species","43778","Clarendonian","Hemphillian","13.6","4.9","3558"
"185368","occ","5714","","18192","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","6294"
"185369","occ","","","18192","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3510"
"185370","occ","5715","","18192","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","6294"
"185371","occ","","","18192","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"185396","occ","","","18193","Borophagus pugnator","species","50648","Miocene","","23.03","5.333","3558"
"185402","occ","","","18196","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"185403","occ","5728","","18197","Epicyon","genus","41212","Clarendonian","","13.6","10.3","6294"
"185417","occ","5735","","18198","Epicyon haydeni","species","44847","Hemphillian","","10.3","4.9","6294"
"185418","occ","5736","","18198","Borophagus secundus","species","44603","Hemphillian","","10.3","4.9","6294"
"185435","occ","","","18199","Aelurodon","genus","41190","Barstovian","","15.97","13.6","3510"
"185442","occ","","","18200","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","3558"
"185443","occ","","","18200","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"185444","occ","","","18200","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"185445","occ","","","18200","Carpocyon robustus","species","52388","Clarendonian","","13.6","10.3","3558"
"185446","occ","","","18200","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","6266"
"185469","occ","","","18201","Canis","genus","41198","Hemphillian","","10.3","4.9","3510"
"185479","occ","","","18202","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"185490","occ","","","18203","Microtomarctus conferta","species","52175","Barstovian","","15.97","13.6","3558"
"185491","occ","","","18203","Tomarctus brevirostris","species","52374","Barstovian","","15.97","13.6","3558"
"185492","occ","","","18203","Aelurodon asthenostylus","species","43759","Barstovian","","15.97","13.6","3558"
"185493","occ","","","18203","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"185503","occ","","","18205","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"185514","occ","","","18206","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3510"
"185515","occ","","","18206","Carpocyon","genus","41199","Barstovian","","15.97","13.6","3510"
"185560","occ","5773","","18208","Borophaginae","subfamily","83323","Barstovian","","15.97","13.6","6294"
"185561","occ","","","18208","Leptocyon","genus","41218","Barstovian","","15.97","13.6","781"
"185594","occ","","","18209","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3510"
"185595","occ","5781","","18209","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","6294"
"185596","occ","","","18209","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"185617","occ","5788","","18211","Epicyon haydeni","species","44847","Hemphillian","","10.3","4.9","6294"
"185627","occ","","","18213","Aelurodon taxoides","species","43778","Miocene","","23.03","5.333","3510"
"185633","occ","","","18214","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"185634","occ","","","18214","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"185635","occ","","","18214","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"185657","occ","","","18217","Cynarctus voorhiesi","species","45449","Clarendonian","","13.6","10.3","3558"
"185658","occ","","","18217","Aelurodon stirtoni","species","51830","Clarendonian","","13.6","10.3","3558"
"185659","occ","","","18217","Aelurodon ferox","species","43762","Clarendonian","","13.6","10.3","3558"
"185660","occ","","","18217","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"185661","occ","","","18217","Carpocyon webbi","species","44936","Clarendonian","","13.6","10.3","3558"
"185673","occ","","","18218","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","3558"
"185674","occ","","","18218","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"185675","occ","","","18218","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","1032"
"185695","occ","","","18219","Leptocyon","genus","41218","Clarendonian","","13.6","10.3","3794"
"185696","occ","5804","","18219","Borophaginae","subfamily","83323","Clarendonian","","13.6","10.3","6294"
"185704","occ","","","18220","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","1570"
"185715","occ","","","18221","Leptocyon","genus","41218","Clarendonian","","13.6","10.3","3510"
"185716","occ","","","18221","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3510"
"185733","occ","","","18222","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","3558"
"185734","occ","","","18222","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"185735","occ","5818","","18222","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","1032"
"185736","occ","","","18222","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"185747","occ","5824","","18223","Borophaginae","subfamily","83323","Barstovian","","15.97","13.6","6294"
"185773","occ","5830","","18225","Epicyon haydeni","species","44847","Hemphillian","","10.3","4.9","6294"
"185774","occ","","","18225","Vulpes stenognathus","species","52688","Hemphillian","","10.3","4.9","2218"
"185799","occ","","","18227","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"185800","occ","","","18227","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"185801","occ","","","18227","Carpocyon robustus","species","52388","Clarendonian","","13.6","10.3","3558"
"185802","occ","","","18227","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","1032"
"185803","occ","","","18227","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","1032"
"185818","occ","5842","","18230","Borophaginae","subfamily","83323","Clarendonian","","13.6","10.3","6294"
"185819","occ","","","18230","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3564"
"185827","occ","","","18232","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3239"
"185832","occ","5846","","18233","Borophaginae","subfamily","83323","Clarendonian","","13.6","10.3","6294"
"185833","occ","5847","","18233","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"185834","occ","5848","","18233","Borophaginae","subfamily","83323","Clarendonian","","13.6","10.3","6294"
"185863","occ","","","18235","Canidae","family","41189","Barstovian","Clarendonian","15.97","10.3","3510"
"185872","occ","","","18236","Epicyon haydeni","species","44847","Clarendonian","Hemphillian","13.6","4.9","2218"
"185917","occ","5868","","18241","Borophagus secundus","species","44603","Hemphillian","","10.3","4.9","6294"
"185927","occ","","","18242","Cynarctus voorhiesi","species","45449","Clarendonian","","13.6","10.3","3558"
"185928","occ","","","18242","Aelurodon ferox","species","43762","Clarendonian","","13.6","10.3","3558"
"185929","occ","","","18242","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"185930","occ","","","18242","Carpocyon webbi","species","44936","Clarendonian","","13.6","10.3","3558"
"185946","occ","","","18244","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","3558"
"185947","occ","","","18244","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","6207"
"185948","occ","","","18244","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"185949","occ","","","18244","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","1032"
"185969","occ","","","18245","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"185970","occ","","","18245","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"185971","occ","","","18245","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"185980","occ","","","18246","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"186000","occ","5879","","18247","Eucyon davisi","species","44836","Late Hemphillian","","10.3","4.9","6294"
"186014","occ","","","18248","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"186036","occ","","","18251","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3510"
"186045","occ","","","18253","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","3558"
"186046","occ","","","18254","Borophagus pugnator","species","50648","Hemphillian","","10.3","4.9","3558"
"186048","occ","","","18256","Aelurodon taxoides","species","43778","Clarendonian","Hemphillian","13.6","4.9","3558"
"186049","occ","","","18256","Epicyon saevus","species","44881","Clarendonian","Hemphillian","13.6","4.9","3558"
"186055","occ","","","18258","Epicyon saevus","species","44881","Hemphillian","","10.3","4.9","3558"
"186060","occ","","","18260","Cynarctus voorhiesi","species","45449","Clarendonian","","13.6","10.3","3558"
"186061","occ","","","18260","Aelurodon ferox","species","43762","Clarendonian","","13.6","10.3","3558"
"186062","occ","","","18260","Carpocyon webbi","species","44936","Clarendonian","","13.6","10.3","3558"
"186089","occ","5899","","18261","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","6294"
"186090","occ","5900","","18261","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","6294"
"186107","occ","","","18262","Aelurodon taxoides","species","43778","Early Clarendonian","","13.6","10.3","3558"
"186111","occ","","","18263","Vulpes","genus","41248","Hemphillian","","10.3","4.9","3405"
"186112","occ","5904","","18263","Borophagus","genus","41196","Hemphillian","","10.3","4.9","6294"
"186113","occ","","","18263","Epicyon","genus","41212","Hemphillian","","10.3","4.9","3405"
"186131","occ","","","18265","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"186132","occ","","","18266","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"186134","occ","","","18267","Aelurodon ferox","species","43762","Clarendonian","","13.6","10.3","3558"
"186145","occ","5915","","18268","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","6294"
"186146","occ","","","18268","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","1710"
"186147","occ","5916","","18268","Carpocyon robustus","species","52388","Clarendonian","","13.6","10.3","3558"
"186164","occ","5922","","18269","Canidae","family","41189","Clarendonian","Hemphillian","13.6","4.9","6294"
"186165","occ","","","18270","Aelurodon ferox","species","43762","Barstovian","Clarendonian","15.97","10.3","3558"
"186166","occ","","","18270","Carpocyon compressus","species","43761","Barstovian","Clarendonian","15.97","10.3","3558"
"186171","occ","5926","","18271","Aelurodon ferox","species","43762","Miocene","","23.03","5.333","6294"
"186175","occ","","","18272","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"186209","occ","5934","","18275","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","6294"
"186210","occ","","","18275","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3510"
"186211","occ","","","18275","Cynarctus saxatilis","species","45448","Barstovian","","15.97","13.6","3510"
"186212","occ","","","18275","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"186242","occ","","","18277","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"186243","occ","","","18278","Aelurodon taxoides","species","43778","Clarendonian","Hemphillian","13.6","4.9","3558"
"186245","occ","","","18279","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"186249","occ","","","18281","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"186250","occ","","","18281","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"186256","occ","","","18282","Aelurodon ferox","species","43762","Miocene","","23.03","5.333","3558"
"186258","occ","","","18283","Aelurodon taxoides","species","43778","Miocene","","23.03","5.333","6207"
"186259","occ","5953","","18283","Paratomarctus euthos","species","45458","Miocene","","23.03","5.333","6294"
"186260","occ","5954","","18283","Cynarctus crucidens","species","45442","Miocene","","23.03","5.333","6294"
"186301","occ","5966","","18284","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","6294"
"186302","occ","5967","","18284","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","6294"
"186303","occ","5968","","18284","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","6294"
"186304","occ","","","18284","Cynarctus saxatilis","species","45448","Barstovian","","15.97","13.6","3510"
"186305","occ","","","18284","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"186345","occ","","","18285","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"186346","occ","","","18286","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"186348","occ","","","18288","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"186351","occ","","","18291","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"186353","occ","","","18293","Epicyon saevus","species","44881","Miocene","","23.03","5.333","3558"
"186366","occ","","","18295","Epicyon haydeni","species","44847","Clarendonian","Hemphillian","13.6","4.9","2218"
"186367","occ","","","18295","Epicyon saevus","species","44881","Clarendonian","Hemphillian","13.6","4.9","2218"
"186368","occ","","","18295","Aelurodon","genus","41190","Clarendonian","Hemphillian","13.6","4.9","2218"
"186390","occ","","","18298","Borophaginae","subfamily","83323","Late Clarendonian","late Early Hemphillian","13.6","4.9","3510"
"186403","occ","","","18299","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"186404","occ","","","18299","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"186405","occ","5996","","18299","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"186410","occ","","","18301","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"186411","occ","","","18301","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","1032"
"186418","occ","","","18302","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"186432","occ","6004","","18304","Borophagus secundus","species","44603","Hemphillian","","10.3","4.9","6294"
"186433","occ","6005","","18304","Vulpes stenognathus","species","52688","Hemphillian","","10.3","4.9","3013"
"186434","occ","6006","","18304","Eucyon davisi","species","44836","Hemphillian","","10.3","4.9","6209"
"186461","occ","","","18305","Vulpes stenognathus","species","52688","Clarendonian","Hemphillian","13.6","4.9","3510"
"186475","occ","","","18306","Paratomarctus euthos","species","45458","Barstovian","Clarendonian","15.97","10.3","3558"
"186482","occ","","","18308","Epicyon saevus","species","44881","Miocene","","23.03","5.333","3558"
"186483","occ","","","18308","Epicyon haydeni","species","44847","Miocene","","23.03","5.333","3558"
"186489","occ","","","18309","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"186501","occ","","","18313","Leptocyon","genus","41218","Miocene","","23.03","5.333","3510"
"186572","occ","","","18320","Canis","genus","41198","Late Hemphillian","Blancan","10.3","1.8","6086"
"186573","occ","","","18320","Vulpes","genus","41248","Late Hemphillian","Blancan","10.3","1.8","6086"
"186574","occ","","","18320","Borophagus","genus","41196","Late Hemphillian","Blancan","10.3","1.8","6086"
"186582","occ","6052","","18321","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"186583","occ","","","18321","Carpocyon robustus","species","52388","Clarendonian","","13.6","10.3","3558"
"186590","occ","","","18323","Aelurodon taxoides","species","43778","Hemphillian","","10.3","4.9","3558"
"186591","occ","","","18323","Epicyon saevus","species","44881","Hemphillian","","10.3","4.9","3558"
"186592","occ","","","18323","Epicyon haydeni","species","44847","Hemphillian","","10.3","4.9","3558"
"186612","occ","6061","","18324","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","3558"
"186634","occ","6065","","18326","Epicyon haydeni","species","44847","Clarendonian","Hemphillian","13.6","4.9","6294"
"186672","occ","","","18327","Epicyon saevus","species","44881","Late Clarendonian","","13.6","10.3","3558"
"186673","occ","","","18327","Epicyon haydeni","species","44847","Late Clarendonian","","13.6","10.3","3558"
"186691","occ","","","18332","Aelurodon","genus","41190","Barstovian","","15.97","13.6","3510"
"186697","occ","","","18333","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"186698","occ","","","18333","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"186712","occ","","","18335","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"186713","occ","","","18336","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"186714","occ","","","18336","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"186735","occ","6083","","18341","Aelurodon mcgrewi","species","43769","Miocene","","23.03","5.333","6294"
"186736","occ","6084","","18342","Eucyon davisi","species","44836","Hemphillian","","10.3","4.9","6294"
"186737","occ","6085","","18342","Borophagus pugnator","species","50648","Hemphillian","","10.3","4.9","3558"
"186776","occ","","","18345","Aelurodon mcgrewi","species","43769","Barstovian","","15.97","13.6","3558"
"186791","occ","","","18348","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"186804","occ","","","18352","Aelurodon taxoides","species","43778","Clarendonian","Hemphillian","13.6","4.9","3558"
"186805","occ","","","18352","Epicyon saevus","species","44881","Clarendonian","Hemphillian","13.6","4.9","3558"
"186817","occ","","","18353","Aelurodon","genus","41190","Barstovian","","15.97","13.6","3510"
"186828","occ","","","18355","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","6207"
"186829","occ","","","18355","Carpocyon robustus","species","52388","Clarendonian","","13.6","10.3","3558"
"186830","occ","","","18355","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","1032"
"186831","occ","","","18355","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"186832","occ","6112","","18355","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","6294"
"186833","occ","6113","","18355","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","6294"
"186845","occ","","","18357","Cynarctus saxatilis","species","45448","Barstovian","","15.97","13.6","3558"
"186846","occ","","","18357","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"186847","occ","","","18358","Aelurodon taxoides","species","43778","Clarendonian","Hemphillian","13.6","4.9","3558"
"186848","occ","","","18358","Epicyon saevus","species","44881","Clarendonian","Hemphillian","13.6","4.9","3558"
"186878","occ","","","18359","Canis lepophagus","species","44856","Late Hemphillian","","10.3","4.9","3510"
"186879","occ","6126","","18359","Borophagus","genus","41196","Late Hemphillian","","10.3","4.9","6294"
"186880","occ","","","18359","Vulpes","genus","41248","Late Hemphillian","","10.3","4.9","3510"
"186911","occ","","","18361","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"186916","occ","","","18363","Aelurodon mcgrewi","species","43769","Barstovian","","15.97","13.6","3558"
"186918","occ","","","18364","Epicyon haydeni","species","44847","Miocene","","23.03","5.333","3558"
"186919","occ","","","18365","Epicyon haydeni","species","44847","Hemphillian","","10.3","4.9","3558"
"186931","occ","","","18368","Canidae","family","41189","Miocene","","23.03","5.333","3356"
"186942","occ","6143","","18372","Borophaginae","subfamily","83323","Clarendonian","","13.6","10.3","6294"
"186951","occ","","","18373","Carpocyon compressus","species","43761","Miocene","","23.03","5.333","3558"
"186953","occ","","","18374","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","1032"
"186969","occ","","","18378","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"186970","occ","","","18378","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"186985","occ","6156","","18384","Borophaginae","subfamily","83323","Miocene","","23.03","5.333","6294"
"187046","occ","","","18398","Epicyon saevus","species","44881","Miocene","","23.03","5.333","3558"
"187047","occ","","","18399","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"187050","occ","","","18402","Aelurodon mcgrewi","species","43769","Barstovian","","15.97","13.6","3558"
"187051","occ","","","18403","Epicyon aelurodontoides","species","46203","Hemphillian","","10.3","4.9","3558"
"187053","occ","","","18405","Aelurodon ferox","species","43762","Miocene","","23.03","5.333","3558"
"187068","occ","","","18407","Canidae","family","41189","Miocene","","23.03","5.333","6228"
"187082","occ","","","18408","Aelurodon stirtoni","species","51830","Clarendonian","","13.6","10.3","3558"
"187084","occ","","","18409","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"187086","occ","","","18411","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"187092","occ","","","18412","Cynarctus saxatilis","species","45448","Barstovian","","15.97","13.6","3558"
"187093","occ","","","18412","Aelurodon mcgrewi","species","43769","Barstovian","","15.97","13.6","3558"
"187105","occ","6188","","18414","Aelurodon stirtoni","species","51830","Clarendonian","","13.6","10.3","3558"
"187112","occ","6190","","18415","Epicyon haydeni","species","44847","Hemphillian","","10.3","4.9","6294"
"187113","occ","","","18415","Epicyon saevus","species","44881","Hemphillian","","10.3","4.9","1032"
"187114","occ","6191","","18415","Borophagus pugnator","species","50648","Hemphillian","","10.3","4.9","6294"
"187130","occ","","","18419","Carpocyon webbi","species","44936","Clarendonian","","13.6","10.3","3558"
"187134","occ","","","18422","Aelurodon ferox","species","43762","Barstovian","Clarendonian","15.97","10.3","3558"
"187141","occ","6203","","18424","Paratomarctus temerarius","species","44882","Clarendonian","Hemphillian","13.6","4.9","6294"
"187150","occ","","","18425","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"187168","occ","","","18430","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"187172","occ","","","18431","Epicyon saevus","species","44881","Miocene","","23.03","5.333","3558"
"187173","occ","","","18432","Borophagus secundus","species","44603","Late Hemphillian","","10.3","4.9","3558"
"187200","occ","6222","","18441","Borophagus","genus","41196","Hemphillian","","10.3","4.9","6294"
"187227","occ","6228","","18442","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","6294"
"187228","occ","","","18442","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3510"
"187229","occ","6229","","18442","Aelurodon mcgrewi","species","43769","Barstovian","","15.97","13.6","3558"
"187230","occ","6230","","18442","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","6294"
"187231","occ","","","18442","Cynarctus saxatilis","species","45448","Barstovian","","15.97","13.6","3510"
"187232","occ","","","18442","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"187281","occ","6242","","18443","Borophaginae","subfamily","83323","Barstovian","","15.97","13.6","6294"
"187282","occ","6243","","18443","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","6294"
"187283","occ","","","18443","Cynarctus","genus","41206","Barstovian","","15.97","13.6","5714"
"187284","occ","30162","","18443","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","52058"
"187307","occ","","","18444","Epicyon haydeni","species","44847","Miocene","","23.03","5.333","3558"
"187311","occ","6257","","18445","Borophaginae","subfamily","83323","Barstovian","Clarendonian","15.97","10.3","6294"
